corename,latitude,longitude,wdepth,sdepth,mgca,clean,size_lower,size_upper,omega,pH,t_annual,s_annual,t_seasonal,s_seasonal,grid_lat,grid_lon,include,species,reference1,reference2,reference_link1,reference_link2,omega_inv_sq,clean_method
8209,37.84333333,18.16333333,2740,,3.4,0,250,315,3.056383848,8.101291656,19.86070061,38.47208786,24.7548995,38.53028107,37.5,18.5,1,ruber_w,Sabbatini2011,,http://dx.doi.org/10.1029/2011GC003675,,0.107049393,non_reductive
8213,38.49766667,18.39183333,2803,,4.31,0,250,315,3.045755148,8.103649139,19.57999992,38.49621201,24.4296751,38.55358219,38.5,18.5,1,ruber_w,Sabbatini2011,,http://dx.doi.org/10.1029/2011GC003675,,0.107797832,non_reductive
8214,40.59,18.86833333,800,,3.89,0,250,315,4.331129074,8.105844498,18.45580864,38.47331238,24.13736343,38.40786362,41.5,18.5,1,ruber_w,Sabbatini2011,,http://dx.doi.org/10.1029/2011GC003675,,0.053308658,non_reductive
8226,39.06,15.4,1045,,3.54,0,250,315,4.075640678,8.091602325,19.5564003,38.12561035,24.88123417,38.13907528,39.5,15.5,1,ruber_w,Sabbatini2011,,http://dx.doi.org/10.1029/2011GC003675,,0.060201626,non_reductive
8234,38.41,13.17,781,,3.29,0,250,315,4.286618233,8.080286026,19.46279907,37.77870178,24.64764786,37.88400841,38.5,13.5,1,ruber_w,Sabbatini2011,,http://dx.doi.org/10.1029/2011GC003675,,0.054421485,non_reductive
8248,40.36,11.81,2481,,4.26,0,250,315,3.071179152,8.080424309,18.84329033,38.05498886,24.57573636,38.11616262,40.5,11.5,1,ruber_w,Sabbatini2011,,http://dx.doi.org/10.1029/2011GC003675,,0.106020463,non_reductive
A1,41.82638889,17.84138889,1195,,3.62,0,250,315,3.905344486,8.103409767,18.32250977,38.42438889,24.02712377,38.36522929,41.5,17.5,1,ruber_w,Sabbatini2011,,http://dx.doi.org/10.1029/2011GC003675,,0.065566395,non_reductive
A7,28.01361,127.0164,1264,2,4.06,1,250,355,1.027620554,8.137692451,24.16720963,34.38529968,25.88224983,34.24296665,28.5,127.5,1,ruber_w,Sun2005,,http://doi.org/10.1029/2004PA001061,,0.946966107,reductive
AII107-107GGC,-30.878,-37.805,2795,2,3.37,1,250,350,1.347278118,8.104707718,21.26268959,35.94118881,23.7520299,35.87104416,-30.5,-37.5,1,ruber_w,Dekens2002,,http://dx.doi.org/10.1029/2001GC000200,,0.550916129,reductive
AII107-107GGC,-30.878,-37.805,2795,2,2.94,1,250,350,1.347278118,8.104707718,21.26268959,35.94118881,22.66910281,35.90748051,-30.5,-37.5,1,sacculifer,Dekens2002,,http://dx.doi.org/10.1029/2001GC000200,,0.550916129,reductive
