depth,age,d18Og.rub,d18Osmow,mgca,SST,,lat,lon,depth,species,clean_method,,omega,omega_inv_sq,,s_annual,pH,Age
1,1000,-2.07,0.13,3,25.8,,2.2,-90.9,2348,ruber_w,reductive,,0.9892,1.021955028,,33.50183323,8.062823253,1
4,1900,-2.27,-0.18,2.86,25.2,,2.2,-90.9,2348,ruber_w,reductive,,0.9892,1.021955028,,33.4706576,8.063337455,1.9
9,3200,-2.3,0,3.12,26.2,,2.2,-90.9,2348,ruber_w,reductive,,0.9892,1.021955028,,33.51543315,8.065692653,3.2
14,4600,-2.11,0.11,3.02,25.8,,2.2,-90.9,2348,ruber_w,reductive,,0.9892,1.021955028,,33.57318646,8.074929061,4.6
19,6000,-2.41,-0.16,3.06,26,,2.2,-90.9,2348,ruber_w,reductive,,0.9892,1.021955028,,33.55718743,8.078410987,6
24,7200,-2.1,0.18,3.1,26.1,,2.2,-90.9,2348,ruber_w,reductive,,0.9892,1.021955028,,33.61323835,8.084391874,7.2
29,8400,-2.1,0.34,3.33,26.9,,2.2,-90.9,2348,ruber_w,reductive,,0.9892,1.021955028,,33.69484852,8.088232846,8.4
34,9500,-1.78,0.41,2.99,25.7,,2.2,-90.9,2348,ruber_w,reductive,,0.9892,1.021955028,,33.75225879,8.085472685,9.5
39,10700,-1.81,0.27,2.85,25.2,,2.2,-90.9,2348,ruber_w,reductive,,0.9892,1.021955028,,33.85650068,8.078322648,10.7
44,11900,-1.01,1.09,2.88,25.3,,2.2,-90.9,2348,ruber_w,reductive,,0.9892,1.021955028,,34.24874636,8.094805247,11.9
49,13100,-1.12,0.91,2.78,24.9,,2.2,-90.9,2348,ruber_w,reductive,,0.9892,1.021955028,,34.2809383,8.116159332,13.1
54,14300,-1.22,0.77,2.75,24.8,,2.2,-90.9,2348,ruber_w,reductive,,0.9892,1.021955028,,34.30557497,8.117504287,14.3
59,15500,-0.72,1.17,2.63,24.3,,2.2,-90.9,2348,ruber_w,reductive,,0.9892,1.021955028,,34.35084269,8.138721627,15.5
64,16600,-0.51,1.37,2.61,24.2,,2.2,-90.9,2348,ruber_w,reductive,,0.9892,1.021955028,,34.38832076,8.158517033,16.6
69,17800,-0.69,0.9,2.31,22.8,,2.2,-90.9,2348,ruber_w,reductive,,0.9892,1.021955028,,34.41461294,8.188564765,17.8
74,19000,-0.37,1.26,2.36,23.1,,2.2,-90.9,2348,ruber_w,reductive,,0.9892,1.021955028,,34.48434901,8.181529608,19
79,20100,-0.71,1.03,2.47,23.6,,2.2,-90.9,2348,ruber_w,reductive,,0.9892,1.021955028,,34.56712677,8.181926148,20.1
84,21300,-0.78,0.8,2.3,22.8,,2.2,-90.9,2348,ruber_w,reductive,,0.9892,1.021955028,,34.65575741,8.18772513,21.3
89,22400,-0.79,0.93,2.45,23.5,,2.2,-90.9,2348,ruber_w,reductive,,0.9892,1.021955028,,34.65964158,8.190209362,22.4
94,23500,-0.95,0.75,2.42,23.4,,2.2,-90.9,2348,ruber_w,reductive,,0.9892,1.021955028,,34.6607133,8.189105715,23.5
99,24600,-0.81,0.91,2.44,23.5,,2.2,-90.9,2348,ruber_w,reductive,,0.9892,1.021955028,,34.62555123,8.197348081,24.6
104,25800,-1.04,0.45,2.22,22.4,,2.2,-90.9,2348,ruber_w,reductive,,0.9892,1.021955028,,34.58788353,8.190205804,25.8
109,26900,-0.77,0.92,2.41,23.3,,2.2,-90.9,2348,ruber_w,reductive,,0.9892,1.021955028,,34.58266131,8.189189095,26.9
114,28000,-1.23,0.34,2.29,22.7,,2.2,-90.9,2348,ruber_w,reductive,,0.9892,1.021955028,,34.60498623,8.186003271,28
119,29100,-0.93,0.6,2.25,22.6,,2.2,-90.9,2348,ruber_w,reductive,,0.9892,1.021955028,,34.60617087,8.181764853,29.1
124,30200,-1.05,0.6,2.36,23.1,,2.2,-90.9,2348,ruber_w,reductive,,0.9892,1.021955028,,34.53463014,8.18785207,30.2
